layer,loc
fc1,"[1, 23]"
fc1,"[1, 52]"
fc1,"[1, 134]"
fc1,"[1, 163]"
fc1,"[1, 181]"
fc1,"[1, 234]"
fc1,"[1, 289]"
fc1,"[1, 292]"
fc1,"[1, 378]"
fc1,"[2, 16]"
fc1,"[2, 25]"
fc1,"[2, 65]"
fc1,"[2, 133]"
fc1,"[2, 168]"
fc1,"[2, 181]"
fc1,"[2, 188]"
fc1,"[2, 194]"
fc1,"[2, 282]"
fc1,"[2, 294]"
fc1,"[2, 299]"
fc1,"[2, 318]"
fc1,"[2, 432]"
fc1,"[2, 437]"
fc1,"[2, 447]"
fc1,"[2, 460]"
fc1,"[2, 502]"
fc1,"[3, 19]"
fc1,"[3, 66]"
fc1,"[3, 80]"
fc1,"[3, 89]"
fc1,"[3, 167]"
fc1,"[3, 240]"
fc1,"[3, 421]"
fc1,"[3, 431]"
fc1,"[3, 470]"
fc1,"[4, 77]"
fc1,"[4, 158]"
fc1,"[4, 277]"
fc1,"[4, 423]"
fc1,"[4, 435]"
fc1,"[4, 447]"
fc1,"[4, 461]"
fc1,"[5, 136]"
fc1,"[5, 153]"
fc1,"[5, 181]"
fc1,"[5, 267]"
fc1,"[5, 271]"
fc1,"[5, 311]"
fc1,"[5, 373]"
fc1,"[5, 458]"
fc1,"[5, 483]"
fc1,"[6, 52]"
fc1,"[6, 90]"
fc1,"[6, 106]"
fc1,"[6, 122]"
fc1,"[6, 135]"
fc1,"[6, 140]"
fc1,"[6, 191]"
fc1,"[6, 201]"
fc1,"[6, 349]"
fc1,"[6, 371]"
fc1,"[6, 416]"
fc1,"[6, 417]"
fc1,"[6, 444]"
fc1,"[6, 449]"
fc1,"[6, 479]"
fc1,"[7, 31]"
fc1,"[7, 33]"
fc1,"[7, 35]"
fc1,"[7, 42]"
fc1,"[7, 173]"
fc1,"[7, 189]"
fc1,"[7, 192]"
fc1,"[7, 307]"
fc1,"[7, 322]"
fc1,"[7, 420]"
fc1,"[7, 503]"
fc1,"[7, 508]"
fc1,"[8, 1]"
fc1,"[8, 66]"
fc1,"[8, 72]"
fc1,"[8, 89]"
fc1,"[8, 247]"
fc1,"[8, 388]"
fc1,"[9, 5]"
fc1,"[9, 30]"
fc1,"[9, 34]"
fc1,"[9, 41]"
fc1,"[9, 123]"
fc1,"[9, 241]"
fc1,"[9, 365]"
fc1,"[9, 370]"
fc1,"[9, 374]"
fc1,"[9, 418]"
fc1,"[9, 422]"
fc1,"[10, 3]"
fc1,"[10, 13]"
fc1,"[10, 40]"
fc1,"[10, 42]"
fc1,"[10, 178]"
fc1,"[10, 208]"
fc1,"[10, 217]"
fc1,"[10, 246]"
fc1,"[10, 274]"
fc1,"[10, 310]"
fc1,"[10, 311]"
fc1,"[10, 322]"
fc1,"[10, 339]"
fc1,"[10, 364]"
fc0,"[1, 80]"
fc0,"[1, 87]"
fc0,"[1, 181]"
fc0,"[1, 276]"
fc0,"[1, 292]"
fc0,"[1, 309]"
fc0,"[1, 310]"
fc0,"[1, 342]"
fc0,"[1, 351]"
fc0,"[1, 355]"
fc0,"[1, 386]"
fc0,"[1, 397]"
fc0,"[1, 404]"
fc0,"[1, 418]"
fc0,"[1, 437]"
fc0,"[1, 504]"
fc0,"[1, 513]"
fc0,"[1, 516]"
fc0,"[1, 546]"
fc0,"[1, 547]"
fc0,"[1, 630]"
fc0,"[1, 645]"
fc0,"[1, 707]"
fc0,"[1, 715]"
fc0,"[1, 751]"
fc0,"[1, 758]"
