layer,param1,param2,param3,param4
layer4.1.conv2.weight,0,2,2,1
layer4.1.conv2.weight,0,10,0,2
layer4.1.conv2.weight,0,1,2,2
layer4.1.conv2.weight,0,80,2,2
layer4.1.conv2.weight,0,5,1,1
layer4.1.conv2.weight,0,21,2,1
layer4.1.conv2.weight,0,33,2,1
layer4.1.conv2.weight,0,25,2,2
layer4.1.conv2.weight,0,51,1,0
layer4.1.conv2.weight,0,74,2,2
layer4.1.conv2.weight,0,70,1,0
layer4.1.conv2.weight,0,89,1,2
layer4.1.conv2.weight,0,113,1,0
layer4.1.conv2.weight,0,88,0,1
layer4.1.conv2.weight,0,64,2,2
layer4.1.conv2.weight,0,82,0,1
layer4.1.conv2.weight,0,20,1,2
layer4.1.conv2.weight,0,85,0,0
layer4.1.conv2.weight,0,64,1,1
layer4.1.conv2.weight,0,26,2,2
layer4.1.conv2.weight,0,120,1,1
layer4.1.conv2.weight,0,152,0,0
layer4.1.conv2.weight,0,95,0,2
layer4.1.conv2.weight,0,114,1,2
layer4.1.conv2.weight,0,136,1,2
layer4.1.conv2.weight,0,111,2,2
layer4.1.conv2.weight,0,77,1,2
layer4.1.conv2.weight,0,214,2,2
layer4.1.conv2.weight,0,173,0,1
layer4.1.conv2.weight,0,175,2,1
layer4.1.conv2.weight,0,118,0,2
layer4.1.conv2.weight,0,119,0,0
layer4.1.conv2.weight,0,157,1,0
layer4.1.conv2.weight,0,323,1,2
layer4.1.conv2.weight,0,65,0,0
layer4.1.conv2.weight,0,345,0,2
layer4.1.conv2.weight,0,90,0,0
layer4.1.conv2.weight,0,99,1,0
layer4.1.conv2.weight,0,140,2,1
layer4.1.conv2.weight,0,367,1,1
layer4.1.conv2.weight,0,152,1,1
layer4.1.conv2.weight,0,191,2,2
layer4.1.conv2.weight,0,142,1,2
layer4.1.conv2.weight,0,134,2,0
layer4.1.conv2.weight,0,260,1,2
layer4.1.conv2.weight,0,426,0,1
layer4.1.conv2.weight,0,179,1,2
layer4.1.conv2.weight,0,286,1,1
layer4.1.conv2.weight,0,163,1,2
layer4.1.conv2.weight,0,164,2,1
layer4.1.conv2.weight,0,166,1,2
layer4.1.conv2.weight,0,420,2,2
layer4.1.conv2.weight,0,185,2,1
layer4.1.conv2.weight,0,424,1,2
layer4.1.conv2.weight,0,102,0,0
layer4.1.conv2.weight,0,176,1,2
layer4.1.conv2.weight,0,146,1,2
layer4.1.conv2.weight,0,459,1,0
layer4.1.conv2.weight,0,230,2,2
layer4.1.conv2.weight,0,231,1,2
layer4.1.conv2.weight,0,254,1,0
layer4.1.conv2.weight,0,380,2,0
layer4.1.conv2.weight,0,488,2,2
layer4.1.conv2.weight,1,2,2,0
layer4.1.conv2.weight,0,411,2,0
layer4.1.conv2.weight,0,457,0,1
layer4.1.conv2.weight,0,232,2,0
layer4.1.conv2.weight,0,218,0,1
layer4.1.conv2.weight,0,252,1,1
layer4.1.conv2.weight,0,506,2,2
layer4.1.conv2.weight,0,214,2,1
layer4.1.conv2.weight,1,27,2,0
layer4.1.conv2.weight,0,165,0,2
layer4.1.conv2.weight,0,231,0,1
layer4.1.conv2.weight,0,160,1,1
layer4.1.conv2.weight,1,39,0,1
layer4.1.conv2.weight,0,258,2,2
layer4.1.conv2.weight,0,290,0,2
layer4.1.conv2.weight,0,355,0,0
layer4.1.conv2.weight,1,28,1,1
layer4.1.conv2.weight,1,67,2,1
layer4.1.conv2.weight,1,120,1,1
layer4.1.conv2.weight,1,41,1,1
layer4.1.conv2.weight,1,67,1,1
layer4.1.conv2.weight,0,246,0,2
layer4.1.conv2.weight,0,268,1,2
layer4.1.conv2.weight,0,267,2,2
layer4.1.conv2.weight,1,45,1,2
layer4.1.conv2.weight,0,261,2,0
layer4.1.conv2.weight,1,58,2,0
layer4.1.conv2.weight,0,181,1,0
layer4.1.conv2.weight,0,343,0,2
layer4.1.conv2.weight,0,323,1,0
layer4.1.conv2.weight,1,128,0,1
layer4.1.conv2.weight,0,318,2,2
layer4.1.conv2.weight,0,354,0,1
layer4.1.conv2.weight,0,357,1,2
layer4.1.conv2.weight,1,107,0,1
layer4.1.conv2.weight,1,145,1,0
layer4.1.conv2.weight,1,184,1,0
layer4.1.conv2.weight,1,117,0,1
layer4.1.conv2.weight,1,118,0,2
layer4.1.conv2.weight,0,275,1,1
layer4.1.conv2.weight,0,324,1,0
layer4.1.conv2.weight,0,312,1,2
layer4.1.conv2.weight,1,132,1,1
layer4.1.conv2.weight,0,394,0,0
